Allocation_ID,Project_ID,Employee_ID,Role_On_Project,Hours_Allocated,Hours_Worked,Tasks_Assigned,Tasks_Completed,Quality_Score,Performance_Rating
A00121,P0038,E0088,Business Analyst,106,118,12,9,83.4,4.3
A00122,P0038,E0066,Python Developer,45,39,12,9,100.0,4.9
A00123,P0039,E0057,Data Analyst,205,208,36,33,87.5,4.5
A00124,P0039,E0023,Full Stack Developer,72,73,13,12,97.2,4.8
A00125,P0039,E0028,Data Analyst,124,120,15,13,89.4,4.6
A00126,P0040,E0043,BI Analyst,158,150,11,10,84.0,3.9
A00127,P0040,E0059,Business Analyst,83,93,44,36,89.3,4.5
A00128,P0041,E0147,Business Analyst,141,146,39,32,91.2,4.7
A00129,P0041,E0017,Business Analyst,47,47,32,24,74.5,4.0
A00130,P0041,E0041,Technical Support Engineer,214,233,35,34,86.6,4.2
A00131,P0041,E0097,Technical Support Engineer,84,89,30,22,86.4,4.3
A00132,P0041,E0112,IT Support Executive,94,98,19,17,100.0,4.8
A00133,P0042,E0030,Software Developer,111,135,36,34,82.0,4.2
A00134,P0042,E0114,Java Developer,78,90,10,9,100.0,5.0
A00135,P0042,E0105,IT Support Executive,197,188,23,18,81.2,3.9
A00136,P0042,E0050,Technical Support Engineer,205,185,26,24,90.5,4.6
A00137,P0043,E0017,Business Analyst,145,126,43,37,85.4,4.2
A00138,P0043,E0043,BI Analyst,162,152,11,10,85.2,4.3
A00139,P0043,E0076,Business Analyst,62,59,25,20,83.7,4.2
A00140,P0043,E0144,Software Developer,138,109,16,14,86.6,4.4
A00141,P0043,E0070,Automation Tester,147,146,20,14,88.4,4.1
A00142,P0044,E0076,Business Analyst,201,188,42,32,93.2,4.5
A00143,P0044,E0058,BI Analyst,44,52,32,31,90.1,4.4
A00144,P0044,E0019,Full Stack Developer,131,124,38,33,83.8,4.0
A00145,P0045,E0024,Data Analyst,128,94,44,41,89.4,4.7
A00146,P0045,E0091,BI Analyst,168,170,28,23,98.5,5.0
A00147,P0045,E0019,Full Stack Developer,139,146,25,22,94.6,4.8
A00148,P0045,E0130,Full Stack Developer,86,72,9,8,84.9,4.4
A00149,P0045,E0093,Senior Data Analyst,121,117,22,16,82.6,4.4
A00150,P0046,E0126,Java Developer,111,111,11,9,93.6,4.7
A00151,P0046,E0080,Technical Support Engineer,160,168,41,32,98.4,4.7
A00152,P0047,E0098,Python Developer,189,197,22,20,83.2,4.1
A00153,P0047,E0075,Software Developer,80,83,14,12,94.8,4.7
A00154,P0047,E0118,Software Tester,103,93,23,17,99.7,5.0
A00155,P0047,E0082,Python Developer,108,126,42,30,94.5,4.5
A00156,P0048,E0056,BI Analyst,96,109,44,37,85.7,4.6
A00157,P0048,E0111,Data Analyst,139,135,30,21,97.1,5.0
A00158,P0049,E0076,Business Analyst,85,100,23,17,96.7,4.7
A00159,P0049,E0144,Software Developer,191,210,28,27,95.7,4.9
A00160,P0049,E0059,Business Analyst,218,210,30,26,81.2,4.0
A00161,P0050,E0007,Data Analyst,220,226,30,24,87.6,4.3
A00162,P0050,E0090,Senior Data Analyst,185,121,44,37,78.7,3.9
A00163,P0051,E0028,Data Analyst,184,178,20,17,81.3,4.0
A00164,P0051,E0018,Senior Data Analyst,166,185,42,35,86.7,4.5
A00165,P0051,E0056,BI Analyst,119,107,19,14,89.6,4.4
A00166,P0052,E0042,Technical Support Engineer,49,52,13,10,81.7,4.2
A00167,P0052,E0110,Automation Tester,54,50,22,20,82.9,4.3
A00168,P0052,E0148,IT Support Executive,194,197,22,19,84.7,4.2
A00169,P0052,E0030,Software Developer,45,38,41,39,84.4,3.9
A00170,P0052,E0067,Technical Support Engineer,162,191,8,7,96.3,5.0
A00171,P0053,E0030,Software Developer,197,215,20,17,89.4,4.3
A00172,P0053,E0136,Business Analyst,73,96,29,25,90.8,4.2
A00173,P0053,E0148,IT Support Executive,85,84,28,20,89.2,4.3
A00174,P0053,E0127,Full Stack Developer,55,56,9,7,76.7,4.0
A00175,P0054,E0020,Python Developer,190,199,17,16,89.5,4.5
A00176,P0054,E0002,IT Support Executive,68,64,41,39,90.7,4.7
A00177,P0054,E0050,Technical Support Engineer,133,135,12,11,93.1,4.8
A00178,P0055,E0130,Full Stack Developer,220,224,33,25,95.9,4.8
A00179,P0055,E0023,Full Stack Developer,190,154,14,13,89.6,4.7
A00180,P0055,E0094,QA Engineer,126,135,27,25,78.1,3.8
A00181,P0055,E0118,Software Tester,122,137,16,14,91.9,4.6
A00182,P0056,E0087,Data Analyst,151,153,39,29,93.6,4.7
A00183,P0056,E0093,Senior Data Analyst,206,274,28,26,80.0,4.0
A00184,P0056,E0076,Business Analyst,84,88,43,33,100.0,5.0
A00185,P0057,E0141,IT Support Executive,97,100,45,43,91.4,4.6
A00186,P0057,E0106,Project Manager,84,88,32,30,91.8,4.4
A00187,P0057,E0117,Java Developer,118,129,26,25,89.4,4.7
A00188,P0057,E0089,Full Stack Developer,72,72,19,13,87.8,4.5
A00189,P0058,E0026,Java Developer,219,192,44,38,87.8,4.7
A00190,P0058,E0089,Full Stack Developer,140,143,44,40,88.4,4.3
A00191,P0059,E0103,Full Stack Developer,86,74,28,23,88.0,4.7
A00192,P0059,E0023,Full Stack Developer,196,184,22,21,92.9,4.4
A00193,P0060,E0091,BI Analyst,167,144,17,12,89.9,4.6
A00194,P0060,E0008,Data Analyst,124,132,12,8,88.7,4.6
A00195,P0061,E0017,Business Analyst,128,161,28,21,81.9,4.0
A00196,P0061,E0118,Software Tester,82,104,13,11,84.4,4.4
A00197,P0061,E0030,Software Developer,211,203,29,25,85.6,4.3
A00198,P0062,E0088,Business Analyst,42,53,24,21,100.0,5.0
A00199,P0062,E0076,Business Analyst,93,79,23,16,89.6,4.4
A00200,P0062,E0013,Data Analyst,217,242,12,8,90.8,4.5
A00201,P0062,E0107,Senior Data Analyst,129,137,24,19,84.6,4.0
A00202,P0062,E0043,BI Analyst,67,67,8,7,82.8,4.1
A00203,P0063,E0067,Technical Support Engineer,138,90,36,32,89.1,4.3
A00204,P0063,E0017,Business Analyst,147,126,18,16,83.2,4.2
A00205,P0064,E0093,Senior Data Analyst,166,149,32,29,93.4,4.7
A00206,P0064,E0084,Data Analyst,129,136,42,33,98.8,5.0
A00207,P0064,E0040,Senior Data Analyst,136,162,14,13,88.8,4.4
A00208,P0064,E0091,BI Analyst,162,141,44,31,79.4,4.1
A00209,P0064,E0107,Senior Data Analyst,206,190,22,19,88.0,4.6
A00210,P0065,E0012,Python Developer,155,140,12,10,82.8,4.4
A00211,P0065,E0033,QA Engineer,48,46,26,20,80.7,4.2
A00212,P0065,E0110,Automation Tester,45,46,28,26,91.6,4.5
A00213,P0066,E0127,Full Stack Developer,66,72,12,8,100.0,4.8
A00214,P0066,E0067,Technical Support Engineer,127,127,18,17,92.6,4.9
A00215,P0066,E0026,Java Developer,136,112,18,17,82.4,4.2
A00216,P0066,E0100,Automation Tester,59,71,43,40,89.8,4.2
A00217,P0067,E0033,QA Engineer,126,125,38,28,90.0,4.8
A00218,P0067,E0100,Automation Tester,220,239,9,7,100.0,5.0
A00219,P0068,E0136,Business Analyst,207,205,18,14,88.4,4.6
A00220,P0068,E0062,IT Support Executive,195,169,35,28,86.3,4.5
A00221,P0068,E0006,Technical Support Engineer,80,68,11,8,85.8,4.3
A00222,P0068,E0097,Technical Support Engineer,65,62,29,28,82.4,4.3
A00223,P0068,E0059,Business Analyst,92,79,20,15,84.9,4.2
A00224,P0069,E0076,Business Analyst,218,220,43,39,84.6,4.3
A00225,P0069,E0136,Business Analyst,178,204,24,18,96.0,5.0
A00226,P0069,E0045,IT Support Executive,209,207,26,21,87.9,4.2
A00227,P0069,E0099,IT Support Executive,116,125,23,20,96.4,4.8
A00228,P0069,E0119,Business Analyst,64,73,11,8,92.9,4.7
A00229,P0070,E0089,Full Stack Developer,186,170,43,39,93.1,4.9
A00230,P0070,E0126,Java Developer,165,159,17,12,82.5,3.8
A00231,P0070,E0027,QA Engineer,53,61,31,24,87.0,4.2
A00232,P0070,E0086,Automation Tester,40,46,35,26,100.0,5.0
A00233,P0070,E0148,IT Support Executive,62,61,26,24,99.6,5.0
A00234,P0071,E0087,Data Analyst,91,86,14,12,93.9,4.6
A00235,P0071,E0116,BI Analyst,46,47,21,18,95.5,4.9
A00236,P0071,E0043,BI Analyst,83,90,26,21,99.9,5.0
A00237,P0071,E0069,BI Analyst,60,59,38,33,76.6,4.1
A00238,P0071,E0093,Senior Data Analyst,69,69,27,22,80.3,4.1
A00239,P0072,E0124,Python Developer,160,159,39,29,79.5,3.9
A00240,P0072,E0049,Software Developer,209,211,24,23,90.4,4.5
A00241,P0072,E0015,Java Developer,63,68,42,34,83.5,4.1
A00242,P0072,E0066,Python Developer,139,174,19,18,96.4,5.0
A00243,P0072,E0058,BI Analyst,134,151,32,30,88.2,4.3
A00244,P0073,E0008,Data Analyst,87,75,36,27,91.5,4.7
A00245,P0073,E0111,Data Analyst,51,58,24,22,79.8,4.1
A00246,P0073,E0093,Senior Data Analyst,152,161,37,35,93.2,4.6
A00247,P0073,E0136,Business Analyst,107,111,22,16,78.2,4.0
A00248,P0074,E0019,Full Stack Developer,184,199,11,8,87.5,4.5
A00249,P0074,E0125,Java Developer,78,89,14,10,89.5,4.4
A00250,P0074,E0147,Business Analyst,61,67,30,28,86.4,4.7
A00251,P0074,E0066,Python Developer,178,158,34,30,88.3,4.6
A00252,P0075,E0060,QA Engineer,181,189,11,8,82.9,3.9
A00253,P0075,E0125,Java Developer,139,152,41,30,86.2,4.2
A00254,P0075,E0066,Python Developer,147,180,42,33,84.9,4.2
A00255,P0076,E0108,Software Tester,186,179,23,17,100.0,5.0
A00256,P0076,E0125,Java Developer,161,130,27,19,78.6,4.1
A00257,P0076,E0014,Java Developer,60,85,33,25,91.4,4.4
A00258,P0076,E0030,Software Developer,48,44,40,30,85.4,4.2
A00259,P0076,E0088,Business Analyst,186,160,41,31,87.6,4.4
A00260,P0077,E0098,Python Developer,70,71,36,33,83.1,4.0
A00261,P0077,E0048,Full Stack Developer,84,76,18,15,92.7,4.5
A00262,P0077,E0113,Full Stack Developer,94,85,20,14,91.2,4.3
A00263,P0078,E0030,Software Developer,50,55,35,34,83.0,4.2
A00264,P0078,E0001,Software Developer,60,62,35,34,87.4,4.1
A00265,P0078,E0066,Python Developer,91,98,17,12,89.3,4.4
A00266,P0079,E0028,Data Analyst,121,135,12,11,88.2,4.5
A00267,P0079,E0106,Project Manager,62,58,32,30,80.2,4.1
A00268,P0079,E0007,Data Analyst,182,140,33,26,94.6,4.9
A00269,P0079,E0124,Python Developer,181,189,28,24,87.3,4.5
A00270,P0080,E0049,Software Developer,173,154,37,27,81.6,3.9
A00271,P0080,E0098,Python Developer,43,47,45,43,78.4,3.9
A00272,P0080,E0028,Data Analyst,173,123,34,29,92.1,4.3
A00273,P0080,E0082,Python Developer,68,60,34,31,96.4,4.8
A00274,P0081,E0136,Business Analyst,77,77,44,32,79.6,4.1
A00275,P0081,E0110,Automation Tester,190,200,45,41,86.3,4.3
A00276,P0081,E0103,Full Stack Developer,65,66,14,13,92.2,4.7
A00277,P0082,E0103,Full Stack Developer,113,123,42,37,83.3,4.4
A00278,P0082,E0048,Full Stack Developer,128,116,34,32,90.1,4.4
A00279,P0083,E0093,Senior Data Analyst,138,147,39,30,94.2,4.6
A00280,P0083,E0111,Data Analyst,186,183,38,31,90.1,4.4
A00281,P0083,E0116,BI Analyst,49,47,19,17,96.3,5.0
A00282,P0083,E0056,BI Analyst,110,119,33,32,100.0,5.0
A00283,P0084,E0046,IT Support Executive,198,169,33,31,93.7,4.6
A00284,P0084,E0012,Python Developer,49,44,33,32,97.6,4.7
A00285,P0084,E0066,Python Developer,124,111,23,21,78.7,3.8
A00286,P0085,E0144,Software Developer,161,143,25,23,90.8,4.8
A00287,P0085,E0088,Business Analyst,135,114,9,8,91.8,4.6
A00288,P0086,E0091,BI Analyst,117,109,27,26,90.8,4.6
A00289,P0086,E0028,Data Analyst,111,124,39,31,90.8,4.4
A00290,P0086,E0088,Business Analyst,218,204,14,12,91.6,4.7
A00291,P0086,E0126,Java Developer,98,88,16,13,90.5,4.4
A00292,P0087,E0113,Full Stack Developer,153,144,28,20,76.0,3.6
A00293,P0087,E0074,Project Manager,108,93,34,28,84.0,4.3
A00294,P0087,E0030,Software Developer,194,201,13,10,88.2,4.6
A00295,P0087,E0100,Automation Tester,88,84,36,32,97.7,4.7
A00296,P0088,E0040,Senior Data Analyst,144,167,39,38,85.0,4.2
A00297,P0088,E0053,Software Tester,172,160,31,24,90.4,4.5
A00298,P0088,E0087,Data Analyst,54,60,40,29,99.9,5.0
A00299,P0089,E0066,Python Developer,56,51,27,20,85.7,4.3
A00300,P0089,E0070,Automation Tester,169,108,33,30,94.3,4.6
A00301,P0089,E0015,Java Developer,74,91,41,32,95.6,4.9
A00302,P0090,E0080,Technical Support Engineer,84,75,20,16,87.7,4.5
A00303,P0090,E0083,IT Support Executive,91,98,11,9,82.1,4.2
A00304,P0091,E0115,Data Analyst,48,46,37,32,83.3,3.9
A00305,P0091,E0074,Project Manager,52,52,31,26,91.3,4.8
A00306,P0091,E0056,BI Analyst,220,173,20,16,87.6,4.5
A00307,P0092,E0029,BI Analyst,134,127,37,33,92.7,4.8
A00308,P0092,E0024,Data Analyst,169,187,33,31,83.3,4.1
A00309,P0092,E0125,Java Developer,202,215,15,11,99.5,5.0
A00310,P0092,E0114,Java Developer,214,195,9,7,84.7,4.3
A00311,P0093,E0064,Java Developer,135,137,39,31,93.5,4.4
A00312,P0093,E0117,Java Developer,192,187,36,26,90.4,4.6
A00313,P0093,E0120,Automation Tester,85,81,38,35,90.0,4.4
A00314,P0094,E0045,IT Support Executive,128,142,18,13,85.4,4.4
A00315,P0094,E0148,IT Support Executive,106,127,13,9,89.8,4.2
A00316,P0094,E0005,Java Developer,112,131,9,8,87.5,4.6
A00317,P0094,E0017,Business Analyst,138,142,11,9,84.8,4.5
A00318,P0095,E0130,Full Stack Developer,186,163,21,17,84.9,4.3
A00319,P0095,E0086,Automation Tester,96,75,22,18,100.0,5.0
A00320,P0095,E0009,Full Stack Developer,213,176,21,16,86.1,4.5
A00321,P0096,E0001,Software Developer,206,186,34,33,89.0,4.5
A00322,P0096,E0029,BI Analyst,171,183,9,6,80.2,4.0
A00323,P0096,E0005,Java Developer,214,168,8,7,93.7,4.7
A00324,P0096,E0026,Java Developer,161,181,16,15,85.6,4.3
A00325,P0097,E0058,BI Analyst,193,193,8,6,93.0,4.6
A00326,P0097,E0043,BI Analyst,97,102,24,22,91.6,4.5
A00327,P0097,E0065,Senior Data Analyst,195,180,27,20,100.0,5.0
A00328,P0098,E0148,IT Support Executive,148,149,32,31,91.9,4.8
A00329,P0098,E0080,Technical Support Engineer,129,113,37,28,90.5,4.3
A00330,P0098,E0136,Business Analyst,104,92,21,16,87.0,4.2
A00331,P0098,E0031,Technical Support Engineer,159,158,27,20,91.4,4.4
A00332,P0099,E0120,Automation Tester,189,181,14,12,97.2,4.9
A00333,P0099,E0023,Full Stack Developer,41,40,40,33,96.3,4.8
A00334,P0099,E0020,Python Developer,209,198,31,24,89.8,4.1
A00335,P0099,E0114,Java Developer,183,164,26,24,100.0,5.0
A00336,P0099,E0019,Full Stack Developer,116,80,14,11,82.3,4.3
A00337,P0100,E0076,Business Analyst,56,40,29,27,95.8,4.7
A00338,P0100,E0039,Full Stack Developer,110,114,28,21,79.6,3.7
A00339,P0100,E0019,Full Stack Developer,110,106,24,19,94.0,4.7
A00340,P0100,E0093,Senior Data Analyst,207,207,27,23,89.0,4.6
A00341,P0100,E0057,Data Analyst,88,100,17,15,89.8,4.4
A00342,P0101,E0031,Technical Support Engineer,54,57,33,27,89.1,4.3
A00343,P0101,E0119,Business Analyst,209,211,28,26,98.0,4.8
A00344,P0101,E0066,Python Developer,214,201,16,15,80.7,3.9
A00345,P0102,E0148,IT Support Executive,207,229,39,34,80.3,4.2
A00346,P0102,E0019,Full Stack Developer,115,115,24,20,95.5,4.8
A00347,P0103,E0005,Java Developer,143,145,32,26,82.1,4.1
A00348,P0103,E0053,Software Tester,49,61,45,36,83.3,4.2
A00349,P0103,E0064,Java Developer,186,196,20,16,88.5,4.5
A00350,P0103,E0036,QA Engineer,127,130,22,18,86.0,4.3
A00351,P0103,E0104,QA Engineer,215,233,42,33,71.3,3.6
A00352,P0104,E0032,BI Analyst,211,189,30,25,95.1,4.8
A00353,P0104,E0009,Full Stack Developer,169,153,27,20,92.4,4.7
A00354,P0104,E0089,Full Stack Developer,83,71,43,31,90.6,4.6
A00355,P0104,E0057,Data Analyst,86,99,26,23,90.6,4.2
A00356,P0104,E0140,Software Developer,64,62,38,33,99.9,4.9
A00357,P0105,E0088,Business Analyst,106,114,43,41,94.5,4.7
A00358,P0105,E0104,QA Engineer,86,104,29,27,97.3,4.7
A00359,P0105,E0015,Java Developer,207,173,13,12,88.0,4.6
A00360,P0106,E0107,Senior Data Analyst,130,141,22,17,91.9,4.6
A00361,P0106,E0076,Business Analyst,118,127,34,32,82.1,4.0
A00362,P0106,E0057,Data Analyst,124,120,31,23,90.0,4.4
A00363,P0107,E0066,Python Developer,189,190,26,19,82.0,4.0
A00364,P0107,E0039,Full Stack Developer,158,149,15,14,95.1,4.9
A00365,P0107,E0122,Technical Support Engineer,160,149,11,10,86.5,4.4
A00366,P0107,E0126,Java Developer,202,197,45,42,86.4,4.5
A00367,P0108,E0150,Technical Support Engineer,160,142,20,16,93.9,4.6
A00368,P0108,E0041,Technical Support Engineer,168,136,15,11,89.5,4.5
A00369,P0109,E0066,Python Developer,175,162,27,21,96.9,4.8
A00370,P0109,E0048,Full Stack Developer,145,162,11,8,86.9,4.3
A00371,P0109,E0030,Software Developer,78,68,16,13,97.3,4.8
A00372,P0109,E0023,Full Stack Developer,91,88,29,27,85.6,4.1
A00373,P0109,E0144,Software Developer,144,119,44,41,100.0,5.0
A00374,P0110,E0066,Python Developer,76,68,28,27,90.1,4.2
A00375,P0110,E0055,IT Support Executive,86,90,13,9,97.6,5.0
A00376,P0110,E0118,Software Tester,164,173,29,23,88.5,4.7
A00377,P0110,E0015,Java Developer,201,149,19,14,88.9,4.5
A00378,P0110,E0020,Python Developer,120,117,11,9,85.6,4.6
A00379,P0111,E0124,Python Developer,155,157,25,19,80.1,4.3
A00380,P0111,E0098,Python Developer,93,104,18,15,91.6,4.6
A00381,P0112,E0125,Java Developer,165,164,13,12,91.2,4.5
A00382,P0112,E0025,Senior Data Analyst,73,76,35,33,82.8,4.3
A00383,P0112,E0013,Data Analyst,202,221,35,30,91.2,4.7
A00384,P0113,E0113,Full Stack Developer,149,154,38,37,89.4,4.7
A00385,P0113,E0059,Business Analyst,138,133,8,5,99.9,5.0
A00386,P0113,E0118,Software Tester,49,47,42,36,82.9,4.0
A00387,P0113,E0126,Java Developer,91,68,31,26,87.9,4.4
A00388,P0113,E0014,Java Developer,43,46,28,25,96.4,4.8
A00389,P0114,E0060,QA Engineer,44,53,8,7,87.0,4.2
A00390,P0114,E0049,Software Developer,200,207,23,22,93.8,4.8
A00391,P0114,E0120,Automation Tester,97,88,30,21,87.8,4.7
