Ticket_ID,Client_ID,Assigned_Employee_ID,Issue_Type,Priority,Created_Date,Resolved_Date,Ticket_Status,Resolution_Hours,Customer_Rating,SLA_Status
T00055,C0052,E0099,Access/Permission,High,2026-01-04 01:00,Null,Escalated,Null,Null,Pending
T00056,C0177,E0080,Application Error,Medium,2025-11-03 10:00,Null,In Progress,Null,Null,Pending
T00057,C0091,E0045,Security Issue,Medium,2026-01-24 02:00,2026-01-24 22:36,Resolved,20.6,5,Breached
T00058,C0023,E0042,Software Installation,High,2026-07-18 02:00,Null,Escalated,Null,Null,Pending
T00059,C0047,E0099,Performance Issue,High,2026-04-28 04:00,Null,Escalated,Null,Null,Pending
T00060,C0006,E0002,Application Error,Medium,2025-10-09 10:00,2025-10-09 20:30,Resolved,10.5,3,Met
T00061,C0117,E0083,Feature Request,Critical,2026-02-28 16:00,Null,In Progress,Null,Null,Pending
T00062,C0017,E0002,Network Issue,Medium,2025-08-03 19:00,2025-08-04 02:06,Resolved,7.1,4,Met
T00063,C0034,E0045,Login Issue,Medium,2025-04-22 18:00,2025-04-23 05:06,Closed,11.1,4,Met
T00064,C0032,E0112,Feature Request,High,2025-03-31 15:00,2025-03-31 21:18,Resolved,6.3,4,Met
T00065,C0012,E0042,Access/Permission,Medium,2025-10-22 13:00,2025-10-23 01:54,Resolved,12.9,4,Breached
T00066,C0053,E0068,Access/Permission,Low,2025-11-21 08:00,2025-11-23 09:18,Closed,49.3,4,Breached
T00067,C0065,E0006,Feature Request,Medium,2026-08-12 19:00,2026-08-13 06:36,Resolved,11.6,4,Met
T00068,C0147,E0031,Security Issue,Low,2025-05-13 19:00,2025-05-14 23:30,Closed,28.5,4,Breached
T00069,C0061,E0042,Access/Permission,High,2026-05-24 16:00,Null,Escalated,Null,Null,Pending
T00070,C0018,E0122,Data Issue,High,2026-05-20 05:00,2026-05-20 09:12,Resolved,4.2,4,Met
T00071,C0009,E0122,Access/Permission,Medium,2025-08-27 22:00,2025-08-28 16:24,Resolved,18.4,3,Breached
T00072,C0078,E0045,Performance Issue,Low,2025-07-18 00:00,2025-07-18 08:30,Closed,8.5,4,Met
T00073,C0059,E0046,Application Error,High,2025-01-25 14:00,Null,Escalated,Null,Null,Pending
T00074,C0142,E0041,Application Error,Critical,2025-08-01 19:00,2025-08-01 20:30,Closed,1.5,4,Met
T00075,C0139,E0148,Software Installation,Low,2026-02-28 01:00,2026-03-01 02:36,Closed,25.6,5,Breached
T00076,C0155,E0068,Security Issue,High,2025-12-25 17:00,2025-12-25 22:00,Resolved,5,4,Met
T00077,C0146,E0068,Network Issue,Medium,2025-01-12 20:00,2025-01-13 14:36,Closed,18.6,3,Breached
T00078,C0033,E0041,Network Issue,Low,2025-10-16 08:00,2025-10-16 17:12,Resolved,9.2,3,Met
T00079,C0164,E0112,Application Error,Medium,2025-11-12 09:00,2025-11-12 22:06,Closed,13.1,5,Breached
T00080,C0126,E0105,Feature Request,Medium,2026-07-18 10:00,2026-07-18 14:42,Resolved,4.7,4,Met
T00081,C0164,E0011,Login Issue,Medium,2025-04-27 21:00,2025-04-28 05:18,Closed,8.3,5,Met
T00082,C0013,E0011,Security Issue,Low,2025-12-16 12:00,Null,Escalated,Null,Null,Pending
T00083,C0076,E0055,Access/Permission,Low,2025-01-30 05:00,2025-01-31 21:00,Resolved,40,5,Breached
T00084,C0061,E0042,Network Issue,High,2025-12-05 10:00,2025-12-05 14:54,Closed,4.9,4,Met
T00085,C0094,E0045,Data Issue,High,2026-05-01 01:00,2026-05-01 10:54,Resolved,9.9,4,Breached
T00086,C0167,E0055,Database Issue,Low,2026-05-09 04:00,2026-05-10 01:06,Closed,21.1,3,Met
T00087,C0083,E0097,Data Issue,Low,2026-07-04 10:00,Null,Open,Null,Null,Pending
T00088,C0078,E0042,Data Issue,Medium,2026-02-28 23:00,2026-03-02 11:18,Resolved,36.3,3,Breached
T00089,C0144,E0099,Login Issue,High,2026-06-18 09:00,Null,Escalated,Null,Null,Pending
T00090,C0180,E0099,Access/Permission,High,2025-11-20 17:00,Null,In Progress,Null,Null,Pending
T00091,C0065,E0122,Feature Request,High,2025-01-20 06:00,2025-01-20 14:00,Resolved,8,4,Met
T00092,C0025,E0046,Access/Permission,High,2025-12-06 11:00,2025-12-06 19:42,Resolved,8.7,5,Breached
T00093,C0053,E0067,Application Error,Medium,2025-06-02 08:00,2025-06-02 12:06,Resolved,4.1,3,Met
T00094,C0138,E0083,Login Issue,High,2025-12-14 12:00,2025-12-14 17:42,Resolved,5.7,3,Met
T00095,C0130,E0011,Feature Request,Medium,2025-06-19 18:00,2025-06-20 03:18,Resolved,9.3,3,Met
T00096,C0067,E0150,Access/Permission,Medium,2026-02-03 05:00,2026-02-03 15:12,Resolved,10.2,3,Met
T00097,C0152,E0112,Access/Permission,Low,2025-04-30 09:00,Null,In Progress,Null,Null,Pending
T00098,C0162,E0006,Security Issue,Medium,2025-02-02 08:00,2025-02-03 08:30,Resolved,24.5,5,Breached
T00099,C0145,E0045,Software Installation,High,2025-03-30 15:00,2025-03-30 22:48,Closed,7.8,5,Met
T00100,C0146,E0097,Network Issue,Medium,2026-01-16 14:00,2026-01-16 22:54,Resolved,8.9,4,Met
T00101,C0146,E0062,Performance Issue,Medium,2025-08-10 16:00,2025-08-11 00:36,Resolved,8.6,5,Met
T00102,C0096,E0041,Performance Issue,Medium,2025-06-29 03:00,2025-06-29 17:24,Resolved,14.4,4,Breached
T00103,C0119,E0083,Security Issue,High,2025-02-08 06:00,2025-02-08 08:48,Resolved,2.8,4,Met
T00104,C0105,E0150,Application Error,Medium,2026-03-31 16:00,Null,In Progress,Null,Null,Pending
T00105,C0070,E0141,Login Issue,High,2026-05-10 16:00,2026-05-11 01:06,Closed,9.1,3,Breached
T00106,C0046,E0042,Database Issue,Low,2025-07-14 10:00,2025-07-14 20:42,Closed,10.7,5,Met
T00107,C0003,E0041,Data Issue,Medium,2026-06-21 09:00,Null,Open,Null,Null,Pending
T00108,C0134,E0080,Security Issue,High,2025-05-27 03:00,2025-05-27 08:30,Resolved,5.5,3,Met
T00109,C0048,E0011,Feature Request,Low,2025-05-16 06:00,2025-05-18 02:00,Resolved,44,4,Breached
T00110,C0061,E0083,Login Issue,High,2026-04-16 12:00,2026-04-17 01:06,Resolved,13.1,4,Breached
T00111,C0105,E0046,Feature Request,High,2025-04-29 00:00,2025-04-29 07:06,Closed,7.1,4,Met
T00112,C0112,E0112,Performance Issue,Low,2025-02-15 21:00,2025-02-16 18:54,Closed,21.9,5,Met
T00113,C0146,E0112,Access/Permission,Medium,2025-03-31 10:00,2025-03-31 16:12,Resolved,6.2,4,Met
T00114,C0048,E0141,Data Issue,High,2025-02-17 03:00,2025-02-17 08:48,Resolved,5.8,4,Met
T00115,C0124,E0112,Feature Request,High,2025-11-16 00:00,2025-11-16 10:30,Closed,10.5,4,Breached
T00116,C0128,E0099,Access/Permission,Medium,2025-11-16 20:00,2025-11-17 23:00,Resolved,27,5,Breached
T00117,C0161,E0131,Network Issue,Medium,2025-11-25 06:00,2025-11-25 11:12,Closed,5.2,5,Met
T00118,C0008,E0122,Network Issue,Medium,2025-10-21 08:00,Null,Escalated,Null,Null,Pending
T00119,C0058,E0067,Feature Request,Medium,2025-11-23 14:00,2025-11-23 23:48,Closed,9.8,4,Met
T00120,C0036,E0099,Application Error,Medium,2025-10-07 04:00,2025-10-07 08:54,Closed,4.9,4,Met
T00121,C0089,E0073,Database Issue,Medium,2025-10-08 03:00,2025-10-08 23:00,Resolved,20,5,Breached
T00122,C0178,E0122,Login Issue,Medium,2026-07-28 16:00,2026-07-29 14:42,Closed,22.7,4,Breached
T00123,C0033,E0055,Application Error,Medium,2025-07-31 17:00,2025-08-01 00:24,Resolved,7.4,4,Met
T00124,C0126,E0042,Security Issue,Medium,2026-07-17 10:00,2026-07-17 20:18,Resolved,10.3,3,Met
T00125,C0088,E0073,Performance Issue,High,2025-05-25 22:00,2025-05-26 03:42,Resolved,5.7,4,Met
T00126,C0060,E0042,Performance Issue,Medium,2026-08-11 07:00,2026-08-12 10:30,Closed,27.5,5,Breached
T00127,C0174,E0099,Database Issue,Low,2025-03-14 09:00,Null,Escalated,Null,Null,Pending
T00128,C0069,E0129,Access/Permission,Low,2025-12-13 17:00,2025-12-14 05:48,Resolved,12.8,4,Met
T00129,C0087,E0141,Data Issue,Medium,2025-02-21 04:00,2025-02-21 17:30,Resolved,13.5,5,Breached
T00130,C0121,E0046,Login Issue,Medium,2026-04-28 21:00,2026-04-29 04:42,Resolved,7.7,4,Met
T00131,C0056,E0067,Login Issue,Critical,2025-04-19 12:00,2025-04-19 19:30,Closed,7.5,5,Breached
T00132,C0142,E0141,Login Issue,High,2025-03-30 13:00,2025-03-30 23:30,Closed,10.5,4,Breached
T00133,C0041,E0141,Software Installation,High,2025-07-03 22:00,2025-07-04 06:48,Resolved,8.8,3,Breached
T00134,C0152,E0112,Access/Permission,Low,2026-04-02 19:00,Null,In Progress,Null,Null,Pending
T00135,C0168,E0105,Security Issue,High,2025-11-16 10:00,2025-11-16 20:42,Resolved,10.7,4,Breached
T00136,C0060,E0067,Network Issue,Medium,2026-07-01 02:00,Null,In Progress,Null,Null,Pending
T00137,C0062,E0097,Data Issue,Low,2026-08-05 04:00,2026-08-06 02:48,Closed,22.8,4,Met
T00138,C0006,E0002,Application Error,Medium,2026-04-25 03:00,2026-04-25 18:30,Resolved,15.5,4,Breached
T00139,C0156,E0122,Data Issue,High,2025-11-14 21:00,Null,Escalated,Null,Null,Pending
T00140,C0132,E0011,Data Issue,Medium,2026-04-27 07:00,2026-04-28 12:24,Closed,29.4,5,Breached
T00141,C0045,E0011,Network Issue,High,2025-05-28 19:00,2025-05-29 17:00,Closed,22,3,Breached
T00142,C0144,E0112,Performance Issue,High,2026-01-08 12:00,2026-01-08 13:54,Closed,1.9,4,Met
T00143,C0094,E0148,Database Issue,High,2025-12-05 10:00,2025-12-05 14:54,Resolved,4.9,4,Met
T00144,C0006,E0150,Data Issue,Medium,2026-05-15 00:00,Null,In Progress,Null,Null,Pending
T00145,C0013,E0046,Application Error,Medium,2026-05-02 03:00,2026-05-02 13:18,Closed,10.3,4,Met
T00146,C0045,E0122,Security Issue,Low,2026-05-06 14:00,2026-05-07 02:42,Resolved,12.7,4,Met
T00147,C0041,E0067,Database Issue,Critical,2025-10-17 11:00,2025-10-17 14:00,Resolved,3,4,Met
T00148,C0091,E0148,Access/Permission,Medium,2026-08-12 04:00,2026-08-12 11:00,Resolved,7,4,Met
T00149,C0030,E0067,Feature Request,Medium,2025-04-16 12:00,2025-04-17 07:42,Resolved,19.7,5,Breached
T00150,C0035,E0011,Application Error,Medium,2025-11-30 17:00,2025-12-01 19:18,Resolved,26.3,4,Breached
T00151,C0067,E0148,Application Error,High,2025-11-06 17:00,2025-11-07 00:12,Resolved,7.2,5,Met
T00152,C0031,E0041,Data Issue,Low,2026-02-15 18:00,2026-02-17 17:00,Closed,47,5,Breached
T00153,C0079,E0055,Software Installation,Medium,2025-09-02 19:00,2025-09-03 02:42,Resolved,7.7,3,Met
T00154,C0118,E0067,Network Issue,Low,2026-07-16 05:00,2026-07-16 17:42,Closed,12.7,4,Met
T00155,C0086,E0099,Data Issue,Medium,2026-01-29 02:00,Null,In Progress,Null,Null,Pending
T00156,C0156,E0062,Security Issue,Medium,2025-08-02 22:00,2025-08-03 05:00,Closed,7,4,Met
T00157,C0131,E0105,Access/Permission,Medium,2026-03-18 13:00,2026-03-18 19:48,Closed,6.8,4,Met
T00158,C0086,E0062,Access/Permission,Low,2025-12-17 17:00,2025-12-19 01:30,Resolved,32.5,4,Breached
T00159,C0109,E0031,Network Issue,High,2025-06-27 21:00,2025-06-28 10:18,Resolved,13.3,3,Breached
T00160,C0153,E0031,Application Error,Medium,2026-08-11 15:00,2026-08-11 19:24,Resolved,4.4,3,Met
T00161,C0062,E0006,Application Error,Medium,2026-04-20 10:00,Null,Escalated,Null,Null,Pending
T00162,C0126,E0105,Feature Request,Low,2025-04-10 14:00,2025-04-11 19:06,Closed,29.1,4,Breached
T00163,C0174,E0080,Database Issue,Medium,2025-11-12 12:00,Null,Open,Null,Null,Pending
T00164,C0055,E0045,Application Error,Medium,2025-04-22 21:00,Null,Escalated,Null,Null,Pending
T00165,C0023,E0122,Access/Permission,High,2026-01-24 10:00,2026-01-24 17:24,Resolved,7.4,4,Met
T00166,C0012,E0002,Data Issue,High,2025-03-04 02:00,2025-03-04 11:48,Resolved,9.8,5,Breached
T00167,C0057,E0097,Network Issue,High,2025-05-23 18:00,2025-05-24 04:18,Closed,10.3,4,Breached
T00168,C0154,E0141,Login Issue,Medium,2025-05-31 21:00,2025-06-01 05:24,Closed,8.4,5,Met
T00169,C0143,E0141,Database Issue,Medium,2026-04-09 17:00,Null,Open,Null,Null,Pending
T00170,C0132,E0050,Performance Issue,Medium,2026-02-04 19:00,2026-02-05 02:30,Closed,7.5,4,Met
T00171,C0032,E0099,Access/Permission,Medium,2026-04-03 06:00,2026-04-03 15:54,Closed,9.9,3,Met
T00172,C0152,E0031,Network Issue,Critical,2025-11-21 09:00,Null,In Progress,Null,Null,Pending
T00173,C0136,E0068,Access/Permission,High,2025-11-08 13:00,2025-11-08 17:30,Closed,4.5,5,Met
T00174,C0025,E0080,Security Issue,Medium,2025-04-02 18:00,Null,Open,Null,Null,Pending
T00175,C0173,E0050,Login Issue,Medium,2026-06-07 12:00,2026-06-08 05:18,Closed,17.3,3,Breached
T00176,C0014,E0073,Database Issue,Medium,2025-10-29 01:00,2025-10-30 07:24,Resolved,30.4,4,Breached
T00177,C0063,E0055,Security Issue,High,2026-07-17 01:00,2026-07-17 07:06,Closed,6.1,4,Met
T00178,C0019,E0097,Login Issue,High,2026-07-28 11:00,2026-07-28 19:24,Resolved,8.4,3,Breached
T00179,C0160,E0073,Application Error,Medium,2025-10-16 00:00,2025-10-16 05:24,Resolved,5.4,4,Met
T00180,C0111,E0099,Network Issue,Medium,2026-03-19 22:00,Null,Open,Null,Null,Pending
T00181,C0092,E0050,Access/Permission,High,2026-02-08 20:00,Null,Escalated,Null,Null,Pending
T00182,C0023,E0067,Security Issue,Low,2026-01-27 12:00,2026-01-29 16:36,Closed,52.6,3,Breached
T00183,C0028,E0150,Software Installation,Low,2026-03-22 17:00,2026-03-24 22:48,Closed,53.8,5,Breached
T00184,C0029,E0105,Network Issue,High,2025-06-27 15:00,2025-06-27 18:24,Resolved,3.4,4,Met
T00185,C0131,E0122,Database Issue,High,2025-07-12 17:00,2025-07-12 21:36,Resolved,4.6,3,Met
T00186,C0067,E0105,Software Installation,Low,2026-01-04 13:00,2026-01-05 13:12,Resolved,24.2,5,Breached
T00187,C0093,E0112,Database Issue,Medium,2025-10-23 21:00,2025-10-24 05:54,Resolved,8.9,5,Met
T00188,C0103,E0062,Database Issue,Medium,2025-05-18 00:00,2025-05-18 04:54,Resolved,4.9,4,Met
T00189,C0060,E0122,Application Error,Medium,2025-01-17 04:00,2025-01-17 15:54,Closed,11.9,5,Met
T00190,C0048,E0067,Data Issue,High,2026-03-24 04:00,2026-03-24 16:36,Closed,12.6,4,Breached
T00191,C0131,E0131,Application Error,High,2025-05-21 20:00,2025-05-21 23:06,Closed,3.1,3,Met
T00192,C0121,E0073,Software Installation,High,2026-04-12 22:00,2026-04-13 08:36,Closed,10.6,4,Breached
T00193,C0121,E0099,Access/Permission,High,2026-03-12 19:00,Null,In Progress,Null,Null,Pending
T00194,C0166,E0062,Database Issue,Medium,2026-04-11 16:00,Null,In Progress,Null,Null,Pending
T00195,C0136,E0080,Software Installation,Critical,2026-07-20 14:00,2026-07-20 17:36,Resolved,3.6,3,Met
T00196,C0130,E0062,Software Installation,Low,2025-12-30 07:00,Null,Open,Null,Null,Pending
T00197,C0144,E0041,Database Issue,Medium,2026-03-11 19:00,2026-03-11 22:12,Closed,3.2,4,Met
T00198,C0133,E0129,Login Issue,Medium,2026-08-15 15:00,Null,In Progress,Null,Null,Pending
T00199,C0001,E0046,Network Issue,Medium,2026-05-29 08:00,2026-05-30 07:06,Closed,23.1,5,Breached
T00200,C0081,E0067,Software Installation,Low,2026-07-14 18:00,2026-07-18 00:48,Closed,78.8,4,Breached
T00201,C0092,E0042,Security Issue,Medium,2025-02-04 01:00,2025-02-04 12:30,Resolved,11.5,3,Met
T00202,C0096,E0150,Access/Permission,Critical,2026-05-10 22:00,2026-05-11 01:06,Resolved,3.1,5,Met
T00203,C0068,E0073,Security Issue,Low,2025-04-26 18:00,2025-04-27 01:18,Resolved,7.3,4,Met
T00204,C0083,E0068,Data Issue,Medium,2025-03-23 04:00,2025-03-23 17:48,Resolved,13.8,4,Breached
T00205,C0020,E0046,Feature Request,High,2025-10-14 14:00,2025-10-14 23:54,Resolved,9.9,4,Breached
T00206,C0136,E0006,Feature Request,Medium,2025-03-22 16:00,2025-03-23 09:24,Resolved,17.4,4,Breached
T00207,C0001,E0055,Access/Permission,High,2025-04-01 07:00,2025-04-01 13:54,Closed,6.9,4,Met
T00208,C0066,E0073,Data Issue,High,2025-03-21 21:00,Null,Escalated,Null,Null,Pending
T00209,C0174,E0150,Feature Request,Medium,2026-08-17 09:00,Null,Escalated,Null,Null,Pending
T00210,C0096,E0062,Access/Permission,Low,2025-02-24 10:00,2025-02-25 21:12,Resolved,35.2,4,Breached
T00211,C0028,E0031,Feature Request,Low,2025-01-12 15:00,2025-01-13 16:12,Closed,25.2,5,Breached
T00212,C0180,E0031,Data Issue,Medium,2026-06-09 15:00,Null,Escalated,Null,Null,Pending
T00213,C0155,E0150,Access/Permission,High,2025-12-06 13:00,2025-12-06 19:30,Closed,6.5,4,Met
T00214,C0153,E0002,Security Issue,Medium,2025-10-29 09:00,2025-10-30 00:54,Resolved,15.9,4,Breached
T00215,C0105,E0062,Database Issue,Low,2025-02-06 22:00,Null,Escalated,Null,Null,Pending
T00216,C0119,E0148,Access/Permission,Medium,2025-11-08 23:00,2025-11-09 12:18,Resolved,13.3,4,Breached
T00217,C0056,E0067,Access/Permission,Low,2025-09-24 01:00,2025-09-24 12:42,Closed,11.7,3,Met
T00218,C0104,E0002,Data Issue,High,2026-08-16 05:00,Null,Escalated,Null,Null,Pending
T00219,C0070,E0041,Access/Permission,Medium,2025-02-22 21:00,2025-02-23 04:18,Closed,7.3,4,Met
T00220,C0066,E0112,Performance Issue,Low,2025-01-28 09:00,Null,In Progress,Null,Null,Pending
T00221,C0076,E0050,Data Issue,Medium,2025-03-26 04:00,Null,Open,Null,Null,Pending
T00222,C0163,E0129,Feature Request,Medium,2025-03-20 08:00,Null,In Progress,Null,Null,Pending
T00223,C0050,E0097,Performance Issue,Medium,2025-05-16 19:00,2025-05-17 18:00,Resolved,23,3,Breached
T00224,C0136,E0083,Performance Issue,Low,2025-10-09 08:00,2025-10-10 06:30,Closed,22.5,4,Met
T00225,C0116,E0045,Login Issue,Medium,2025-04-25 19:00,Null,Open,Null,Null,Pending
T00226,C0016,E0083,Database Issue,Medium,2025-06-04 21:00,2025-06-06 01:48,Closed,28.8,4,Breached
T00227,C0011,E0031,Data Issue,High,2026-01-14 05:00,2026-01-14 14:12,Closed,9.2,5,Breached
T00228,C0063,E0062,Performance Issue,Low,2025-08-30 15:00,Null,Escalated,Null,Null,Pending
T00229,C0054,E0141,Database Issue,Medium,2026-06-25 01:00,2026-06-25 14:06,Resolved,13.1,4,Breached
T00230,C0115,E0046,Security Issue,Critical,2025-03-28 04:00,2025-03-28 06:48,Closed,2.8,4,Met
T00231,C0011,E0062,Access/Permission,High,2025-06-07 15:00,2025-06-07 20:00,Resolved,5,4,Met
T00232,C0129,E0031,Software Installation,Medium,2026-01-28 07:00,2026-01-28 23:12,Resolved,16.2,4,Breached
T00233,C0090,E0080,Data Issue,Medium,2025-06-21 06:00,2025-06-21 19:54,Closed,13.9,3,Breached
T00234,C0086,E0068,Access/Permission,Medium,2025-12-20 01:00,Null,In Progress,Null,Null,Pending
T00235,C0073,E0131,Performance Issue,High,2025-04-29 01:00,Null,Open,Null,Null,Pending
T00236,C0130,E0002,Database Issue,Low,2026-04-21 12:00,Null,Escalated,Null,Null,Pending
T00237,C0033,E0041,Data Issue,Low,2025-11-05 15:00,Null,Escalated,Null,Null,Pending
T00238,C0020,E0031,Feature Request,Low,2025-08-28 12:00,2025-08-29 20:48,Resolved,32.8,5,Breached
T00239,C0039,E0141,Software Installation,High,2026-05-01 08:00,2026-05-01 18:00,Closed,10,3,Breached
T00240,C0143,E0099,Database Issue,High,2026-06-28 13:00,2026-06-29 03:00,Closed,14,5,Breached
T00241,C0005,E0131,Login Issue,Medium,2025-10-23 14:00,2025-10-24 18:36,Closed,28.6,2,Breached
T00242,C0072,E0141,Software Installation,High,2025-11-20 16:00,2025-11-21 00:18,Resolved,8.3,4,Breached
T00243,C0146,E0097,Login Issue,Medium,2025-04-10 17:00,2025-04-12 09:48,Resolved,40.8,5,Breached
T00244,C0175,E0055,Security Issue,Medium,2026-03-19 19:00,2026-03-20 02:30,Closed,7.5,5,Met
T00245,C0039,E0031,Performance Issue,High,2025-12-10 08:00,Null,Escalated,Null,Null,Pending
T00246,C0018,E0045,Performance Issue,High,2025-04-11 08:00,2025-04-11 12:48,Resolved,4.8,5,Met
T00247,C0038,E0042,Access/Permission,Low,2026-02-05 14:00,Null,In Progress,Null,Null,Pending
T00248,C0136,E0006,Network Issue,Medium,2025-07-19 16:00,2025-07-20 02:54,Resolved,10.9,4,Met
T00249,C0037,E0112,Security Issue,High,2025-07-04 10:00,2025-07-04 12:54,Closed,2.9,5,Met
